Link ID,Start Node ,Start Node Eastings,Start Node Northings,End Node,End Node Eastings,End Node Northings,Region,Road Type
991016-992045,991016,114.2014295,22.39753946,992045,114.2013271,22.39738596,ST,MAJOR ROUTE
991017-992048,991017,114.1996399,22.39473548,992048,114.1995534,22.39457379,ST,MAJOR ROUTE
991018-992051,991018,114.1930988,22.38864789,992051,114.1929585,22.38852298,ST,MAJOR ROUTE
991019-992054,991019,114.1897564,22.38491109,992054,114.1896403,22.38476629,ST,MAJOR ROUTE
991020-992057,991020,114.1865434,22.38072251,992057,114.1864498,22.38056427,ST,MAJOR ROUTE
991021-992060,991021,114.1987202,22.39154243,992060,114.198715,22.39136191,ST,MAJOR ROUTE
991022-992063,991022,114.2014793,22.38364395,992063,114.2014321,22.38346875,ST,MAJOR ROUTE
991023-992066,991023,114.2007109,22.38092014,992066,114.2006503,22.38074853,ST,MAJOR ROUTE
991024-992069,991024,114.1942192,22.37402977,992069,114.1940316,22.37398337,ST,MAJOR ROUTE
991025-992072,991025,114.1960495,22.37938704,992072,114.1958937,22.37949479,ST,URBAN ROAD
991026-992075,991026,114.1903893,22.38401048,992075,114.1902442,22.38413054,ST,MAJOR ROUTE
991027-992078,991027,114.2074356,22.3803511,992078,114.2072758,22.38024846,ST,MAJOR ROUTE
991028-992083,991028,114.2028762,22.37767687,992083,114.2026891,22.37762845,ST,URBAN ROAD
991029-992084,991029,114.2028463,22.37775399,992084,114.2026583,22.37770916,ST,MAJOR ROUTE
991030-992086,991030,114.180648,22.36624111,992086,114.1806734,22.36642013,ST,URBAN ROAD
991031-992090,991031,114.1762792,22.36969078,992090,114.1761391,22.36956577,ST,URBAN ROAD
991032-992093,991032,114.1874858,22.37599477,992093,114.1876042,22.37585164,ST,URBAN ROAD
991033-992098,991033,114.1885887,22.37024117,992098,114.1884384,22.37012699,ST,MAJOR ROUTE
991034-992101,991034,114.1859209,22.36685435,992101,114.1857741,22.36673614,ST,MAJOR ROUTE
991035-992104,991035,114.1823254,22.36485923,992104,114.182219,22.36470844,ST,URBAN ROAD
991035-992105,991035,114.1823254,22.36485923,992105,114.1821547,22.36477319,ST,MAJOR ROUTE
991036-992108,991036,114.1800825,22.36346092,992108,114.1799563,22.36332369,ST,MAJOR ROUTE
991037-992111,991037,114.1760551,22.35999898,992111,114.1759231,22.35986657,ST,MAJOR ROUTE
991038-992114,991038,114.1733034,22.3580774,992114,114.173205,22.35792235,ST,MAJOR ROUTE
991040-992119,991040,114.1780783,22.37693444,992119,114.1778944,22.3768762,ST,MAJOR ROUTE
991041-992122,991041,114.1748788,22.37214336,992122,114.1748073,22.37197545,ST,MAJOR ROUTE
991042-992125,991042,114.1712649,22.36709788,992125,114.171112,22.36698651,ST,MAJOR ROUTE
991044-992130,991044,114.1769638,22.38019411,992130,114.1768257,22.38032106,ST,MAJOR ROUTE
991045-992133,991045,114.1686828,22.38118513,992133,114.1684941,22.38114249,ST,MAJOR ROUTE
991046-992136,991046,114.1671387,22.38081782,992136,114.1669507,22.38077262,ST,MAJOR ROUTE
991048-992139,991048,114.0537105,22.46410685,992139,114.0536688,22.46393044,TM,MAJOR ROUTE
991049-992144,991049,114.0497748,22.45379138,992144,114.0496805,22.45363347,TM,MAJOR ROUTE
991050-992145,991050,114.0496901,22.45384607,992145,114.0495816,22.45369627,TM,MAJOR ROUTE
991051-992148,991051,114.0493641,22.44637546,992148,114.0494324,22.44620641,TM,MAJOR ROUTE
991052-992151,991052,114.0545739,22.44021229,992151,114.0547248,22.44009847,TM,MAJOR ROUTE
991053-992154,991053,114.0601422,22.43582243,992154,114.0602688,22.4356854,TM,MAJOR ROUTE
991054-992157,991054,114.0643124,22.42316637,992157,114.0643107,22.42298577,TM,MAJOR ROUTE
991055-992160,991055,114.0623602,22.41309605,992160,114.062266,22.4129381,TM,MAJOR ROUTE
991056-992163,991056,114.0691873,22.37433101,992163,114.0693415,22.37422121,TM,MAJOR ROUTE
991057-992166,991057,114.047681,22.44897626,992166,114.0475,22.44891087,TM,MAJOR ROUTE
991058-992169,991058,114.0399835,22.44639108,992169,114.0399008,22.44622771,TM,MAJOR ROUTE
991059-992172,991059,114.0358198,22.43627772,992172,114.0356762,22.43615609,TM,MAJOR ROUTE
991060-992175,991060,114.027656,22.43431535,992175,114.027465,22.43434839,TM,MAJOR ROUTE
991061-992178,991061,114.0165089,22.43717102,992178,114.0163326,22.43724696,TM,MAJOR ROUTE
991062-992181,991062,114.0080321,22.43679731,992181,114.0078481,22.43673911,TM,MAJOR ROUTE
991063-992184,991063,114.00234,22.43113963,992184,114.0022766,22.4309689,TM,MAJOR ROUTE
